Date,Year,Quarter,Quarter (Q),Quarter & Year,Month,Month Name,Month & Year,Week of Year,Week of Year (W),Day of Week,Day Name
07/01/2016,2016,3,Q3,2016 - Q3,7,Jul,16-Jul,27,Week 27,5,Friday
07/02/2016,2016,3,Q3,2016 - Q3,7,Jul,16-Jul,27,Week 27,6,Saturday
07/03/2016,2016,3,Q3,2016 - Q3,7,Jul,16-Jul,27,Week 27,7,Sunday
07/04/2016,2016,3,Q3,2016 - Q3,7,Jul,16-Jul,28,Week 28,1,Monday
07/05/2016,2016,3,Q3,2016 - Q3,7,Jul,16-Jul,28,Week 28,2,Tuesday
07/06/2016,2016,3,Q3,2016 - Q3,7,Jul,16-Jul,28,Week 28,3,Wednesday
07/07/2016,2016,3,Q3,2016 - Q3,7,Jul,16-Jul,28,Week 28,4,Thursday
07/08/2016,2016,3,Q3,2016 - Q3,7,Jul,16-Jul,28,Week 28,5,Friday
07/09/2016,2016,3,Q3,2016 - Q3,7,Jul,16-Jul,28,Week 28,6,Saturday
07/10/2016,2016,3,Q3,2016 - Q3,7,Jul,16-Jul,28,Week 28,7,Sunday
07/11/2016,2016,3,Q3,2016 - Q3,7,Jul,16-Jul,29,Week 29,1,Monday
07/12/2016,2016,3,Q3,2016 - Q3,7,Jul,16-Jul,29,Week 29,2,Tuesday
13/07/2016,2016,3,Q3,2016 - Q3,7,Jul,16-Jul,29,Week 29,3,Wednesday
14/07/2016,2016,3,Q3,2016 - Q3,7,Jul,16-Jul,29,Week 29,4,Thursday
15/07/2016,2016,3,Q3,2016 - Q3,7,Jul,16-Jul,29,Week 29,5,Friday
16/07/2016,2016,3,Q3,2016 - Q3,7,Jul,16-Jul,29,Week 29,6,Saturday
17/07/2016,2016,3,Q3,2016 - Q3,7,Jul,16-Jul,29,Week 29,7,Sunday
18/07/2016,2016,3,Q3,2016 - Q3,7,Jul,16-Jul,30,Week 30,1,Monday
19/07/2016,2016,3,Q3,2016 - Q3,7,Jul,16-Jul,30,Week 30,2,Tuesday
20/07/2016,2016,3,Q3,2016 - Q3,7,Jul,16-Jul,30,Week 30,3,Wednesday
21/07/2016,2016,3,Q3,2016 - Q3,7,Jul,16-Jul,30,Week 30,4,Thursday
22/07/2016,2016,3,Q3,2016 - Q3,7,Jul,16-Jul,30,Week 30,5,Friday
23/07/2016,2016,3,Q3,2016 - Q3,7,Jul,16-Jul,30,Week 30,6,Saturday
24/07/2016,2016,3,Q3,2016 - Q3,7,Jul,16-Jul,30,Week 30,7,Sunday
25/07/2016,2016,3,Q3,2016 - Q3,7,Jul,16-Jul,31,Week 31,1,Monday
26/07/2016,2016,3,Q3,2016 - Q3,7,Jul,16-Jul,31,Week 31,2,Tuesday
27/07/2016,2016,3,Q3,2016 - Q3,7,Jul,16-Jul,31,Week 31,3,Wednesday
28/07/2016,2016,3,Q3,2016 - Q3,7,Jul,16-Jul,31,Week 31,4,Thursday
29/07/2016,2016,3,Q3,2016 - Q3,7,Jul,16-Jul,31,Week 31,5,Friday
30/07/2016,2016,3,Q3,2016 - Q3,7,Jul,16-Jul,31,Week 31,6,Saturday
31/07/2016,2016,3,Q3,2016 - Q3,7,Jul,16-Jul,31,Week 31,7,Sunday
08/01/2016,2016,3,Q3,2016 - Q3,8,Aug,16-Aug,32,Week 32,1,Monday
08/02/2016,2016,3,Q3,2016 - Q3,8,Aug,16-Aug,32,Week 32,2,Tuesday
08/03/2016,2016,3,Q3,2016 - Q3,8,Aug,16-Aug,32,Week 32,3,Wednesday
08/04/2016,2016,3,Q3,2016 - Q3,8,Aug,16-Aug,32,Week 32,4,Thursday
08/05/2016,2016,3,Q3,2016 - Q3,8,Aug,16-Aug,32,Week 32,5,Friday
08/06/2016,2016,3,Q3,2016 - Q3,8,Aug,16-Aug,32,Week 32,6,Saturday
08/07/2016,2016,3,Q3,2016 - Q3,8,Aug,16-Aug,32,Week 32,7,Sunday
08/08/2016,2016,3,Q3,2016 - Q3,8,Aug,16-Aug,33,Week 33,1,Monday
08/09/2016,2016,3,Q3,2016 - Q3,8,Aug,16-Aug,33,Week 33,2,Tuesday
08/10/2016,2016,3,Q3,2016 - Q3,8,Aug,16-Aug,33,Week 33,3,Wednesday
08/11/2016,2016,3,Q3,2016 - Q3,8,Aug,16-Aug,33,Week 33,4,Thursday
08/12/2016,2016,3,Q3,2016 - Q3,8,Aug,16-Aug,33,Week 33,5,Friday
13/08/2016,2016,3,Q3,2016 - Q3,8,Aug,16-Aug,33,Week 33,6,Saturday
14/08/2016,2016,3,Q3,2016 - Q3,8,Aug,16-Aug,33,Week 33,7,Sunday
15/08/2016,2016,3,Q3,2016 - Q3,8,Aug,16-Aug,34,Week 34,1,Monday
16/08/2016,2016,3,Q3,2016 - Q3,8,Aug,16-Aug,34,Week 34,2,Tuesday
17/08/2016,2016,3,Q3,2016 - Q3,8,Aug,16-Aug,34,Week 34,3,Wednesday
18/08/2016,2016,3,Q3,2016 - Q3,8,Aug,16-Aug,34,Week 34,4,Thursday
19/08/2016,2016,3,Q3,2016 - Q3,8,Aug,16-Aug,34,Week 34,5,Friday
20/08/2016,2016,3,Q3,2016 - Q3,8,Aug,16-Aug,34,Week 34,6,Saturday
21/08/2016,2016,3,Q3,2016 - Q3,8,Aug,16-Aug,34,Week 34,7,Sunday
22/08/2016,2016,3,Q3,2016 - Q3,8,Aug,16-Aug,35,Week 35,1,Monday
23/08/2016,2016,3,Q3,2016 - Q3,8,Aug,16-Aug,35,Week 35,2,Tuesday
24/08/2016,2016,3,Q3,2016 - Q3,8,Aug,16-Aug,35,Week 35,3,Wednesday
25/08/2016,2016,3,Q3,2016 - Q3,8,Aug,16-Aug,35,Week 35,4,Thursday
26/08/2016,2016,3,Q3,2016 - Q3,8,Aug,16-Aug,35,Week 35,5,Friday
27/08/2016,2016,3,Q3,2016 - Q3,8,Aug,16-Aug,35,Week 35,6,Saturday
28/08/2016,2016,3,Q3,2016 - Q3,8,Aug,16-Aug,35,Week 35,7,Sunday
29/08/2016,2016,3,Q3,2016 - Q3,8,Aug,16-Aug,36,Week 36,1,Monday
30/08/2016,2016,3,Q3,2016 - Q3,8,Aug,16-Aug,36,Week 36,2,Tuesday
31/08/2016,2016,3,Q3,2016 - Q3,8,Aug,16-Aug,36,Week 36,3,Wednesday
09/01/2016,2016,3,Q3,2016 - Q3,9,Sep,16-Sep,36,Week 36,4,Thursday
09/02/2016,2016,3,Q3,2016 - Q3,9,Sep,16-Sep,36,Week 36,5,Friday
09/03/2016,2016,3,Q3,2016 - Q3,9,Sep,16-Sep,36,Week 36,6,Saturday
09/04/2016,2016,3,Q3,2016 - Q3,9,Sep,16-Sep,36,Week 36,7,Sunday
09/05/2016,2016,3,Q3,2016 - Q3,9,Sep,16-Sep,37,Week 37,1,Monday
09/06/2016,2016,3,Q3,2016 - Q3,9,Sep,16-Sep,37,Week 37,2,Tuesday
09/07/2016,2016,3,Q3,2016 - Q3,9,Sep,16-Sep,37,Week 37,3,Wednesday
09/08/2016,2016,3,Q3,2016 - Q3,9,Sep,16-Sep,37,Week 37,4,Thursday
09/09/2016,2016,3,Q3,2016 - Q3,9,Sep,16-Sep,37,Week 37,5,Friday
09/10/2016,2016,3,Q3,2016 - Q3,9,Sep,16-Sep,37,Week 37,6,Saturday
09/11/2016,2016,3,Q3,2016 - Q3,9,Sep,16-Sep,37,Week 37,7,Sunday
09/12/2016,2016,3,Q3,2016 - Q3,9,Sep,16-Sep,38,Week 38,1,Monday
13/09/2016,2016,3,Q3,2016 - Q3,9,Sep,16-Sep,38,Week 38,2,Tuesday
14/09/2016,2016,3,Q3,2016 - Q3,9,Sep,16-Sep,38,Week 38,3,Wednesday
15/09/2016,2016,3,Q3,2016 - Q3,9,Sep,16-Sep,38,Week 38,4,Thursday
16/09/2016,2016,3,Q3,2016 - Q3,9,Sep,16-Sep,38,Week 38,5,Friday
17/09/2016,2016,3,Q3,2016 - Q3,9,Sep,16-Sep,38,Week 38,6,Saturday
18/09/2016,2016,3,Q3,2016 - Q3,9,Sep,16-Sep,38,Week 38,7,Sunday
19/09/2016,2016,3,Q3,2016 - Q3,9,Sep,16-Sep,39,Week 39,1,Monday
20/09/2016,2016,3,Q3,2016 - Q3,9,Sep,16-Sep,39,Week 39,2,Tuesday
21/09/2016,2016,3,Q3,2016 - Q3,9,Sep,16-Sep,39,Week 39,3,Wednesday
22/09/2016,2016,3,Q3,2016 - Q3,9,Sep,16-Sep,39,Week 39,4,Thursday
23/09/2016,2016,3,Q3,2016 - Q3,9,Sep,16-Sep,39,Week 39,5,Friday
24/09/2016,2016,3,Q3,2016 - Q3,9,Sep,16-Sep,39,Week 39,6,Saturday
25/09/2016,2016,3,Q3,2016 - Q3,9,Sep,16-Sep,39,Week 39,7,Sunday
26/09/2016,2016,3,Q3,2016 - Q3,9,Sep,16-Sep,40,Week 40,1,Monday
27/09/2016,2016,3,Q3,2016 - Q3,9,Sep,16-Sep,40,Week 40,2,Tuesday
28/09/2016,2016,3,Q3,2016 - Q3,9,Sep,16-Sep,40,Week 40,3,Wednesday
29/09/2016,2016,3,Q3,2016 - Q3,9,Sep,16-Sep,40,Week 40,4,Thursday
30/09/2016,2016,3,Q3,2016 - Q3,9,Sep,16-Sep,40,Week 40,5,Friday
01/01/2016,2016,1,Q1,2016 - Q1,1,Jan,16-Jan,1,Week 1,5,Friday
01/02/2016,2016,1,Q1,2016 - Q1,1,Jan,16-Jan,1,Week 1,6,Saturday
01/03/2016,2016,1,Q1,2016 - Q1,1,Jan,16-Jan,1,Week 1,7,Sunday
01/04/2016,2016,1,Q1,2016 - Q1,1,Jan,16-Jan,2,Week 2,1,Monday
01/05/2016,2016,1,Q1,2016 - Q1,1,Jan,16-Jan,2,Week 2,2,Tuesday
01/06/2016,2016,1,Q1,2016 - Q1,1,Jan,16-Jan,2,Week 2,3,Wednesday
01/07/2016,2016,1,Q1,2016 - Q1,1,Jan,16-Jan,2,Week 2,4,Thursday
01/08/2016,2016,1,Q1,2016 - Q1,1,Jan,16-Jan,2,Week 2,5,Friday
01/09/2016,2016,1,Q1,2016 - Q1,1,Jan,16-Jan,2,Week 2,6,Saturday
01/10/2016,2016,1,Q1,2016 - Q1,1,Jan,16-Jan,2,Week 2,7,Sunday
01/11/2016,2016,1,Q1,2016 - Q1,1,Jan,16-Jan,3,Week 3,1,Monday
01/12/2016,2016,1,Q1,2016 - Q1,1,Jan,16-Jan,3,Week 3,2,Tuesday
13/01/2016,2016,1,Q1,2016 - Q1,1,Jan,16-Jan,3,Week 3,3,Wednesday
14/01/2016,2016,1,Q1,2016 - Q1,1,Jan,16-Jan,3,Week 3,4,Thursday
15/01/2016,2016,1,Q1,2016 - Q1,1,Jan,16-Jan,3,Week 3,5,Friday
16/01/2016,2016,1,Q1,2016 - Q1,1,Jan,16-Jan,3,Week 3,6,Saturday
17/01/2016,2016,1,Q1,2016 - Q1,1,Jan,16-Jan,3,Week 3,7,Sunday
18/01/2016,2016,1,Q1,2016 - Q1,1,Jan,16-Jan,4,Week 4,1,Monday
